Enrollment_ID,Student_ID,Course_ID,Enrollment_Date
EN001,ST001,CS001,2023-09-10
EN002,ST001,CS002,2023-09-11
EN003,ST002,CS005,2023-09-12
EN004,ST002,CS006,2023-09-13
EN005,ST003,CS003,2024-01-08
EN006,ST004,CS009,2023-09-14
EN007,ST005,CS011,2023-09-15
EN008,ST006,CS017,2024-02-04
EN009,ST007,CS015,2024-01-15
EN010,ST008,CS006,2023-09-16
EN011,ST009,CS001,2023-09-17
EN012,ST009,CS003,2023-09-18
EN013,ST010,CS008,2023-09-19
EN014,ST011,CS004,2023-09-20
EN015,ST012,CS018,2023-09-21
EN016,ST013,CS015,2023-09-22
EN017,ST014,CS007,2023-09-23
EN018,ST015,CS008,2023-09-24
EN019,ST016,CS002,2023-09-25
EN020,ST017,CS012,2023-09-26
EN021,ST018,CS016,2023-09-27
EN022,ST019,CS019,2023-09-28
EN023,ST020,CS001,2023-09-29
EN024,ST021,CS003,2023-09-30
EN025,ST022,CS006,2024-02-10
EN026,ST023,CS011,2023-10-01
EN027,ST024,CS020,2023-10-02
EN028,ST025,CS015,2023-10-03
EN029,ST026,CS002,2023-10-04
EN030,ST027,CS005,2023-10-05
EN031,ST028,CS017,2023-10-06
EN032,ST029,CS008,2023-10-07
EN033,ST030,CS012,2023-10-08
EN034,ST031,CS004,2023-10-09
EN035,ST032,CS016,2023-10-10
EN036,ST033,CS009,2023-10-11
EN037,ST034,CS003,2023-10-12
EN038,ST035,CS007,2023-10-13
EN039,ST036,CS015,2023-10-14
EN040,ST037,CS020,2023-10-15
EN041,ST038,CS013,2023-10-16
EN042,ST039,CS009,2023-10-17
EN043,ST040,CS011,2023-10-18
EN044,ST041,CS019,2023-10-19
EN045,ST042,CS001,2023-10-20
EN046,ST043,CS016,2023-10-21
EN047,ST044,CS010,2023-10-22
EN048,ST045,CS013,2023-10-23
EN049,ST046,CS018,2023-10-24
EN050,ST047,CS002,2023-10-25
EN051,ST048,CS005,2023-10-26
EN052,ST049,CS008,2023-10-27
EN053,ST050,CS015,2023-10-28
EN054,ST001,CS003,2023-10-29
EN055,ST002,CS007,2023-10-30
EN056,ST003,CS004,2023-10-31
EN057,ST004,CS009,2023-11-01
EN058,ST005,CS012,2023-11-02
EN059,ST006,CS017,2023-11-03
EN060,ST007,CS016,2023-11-04
EN061,ST008,CS006,2023-11-05
EN062,ST009,CS002,2023-11-06
EN063,ST010,CS010,2023-11-07
EN064,ST011,CS001,2023-11-08
EN065,ST012,CS020,2023-11-09
EN066,ST013,CS015,2023-11-10
EN067,ST014,CS007,2023-11-11
EN068,ST015,CS008,2023-11-12
EN069,ST016,CS003,2023-11-13
EN070,ST017,CS012,2023-11-14
EN071,ST018,CS016,2023-11-15
EN072,ST019,CS018,2023-11-16
EN073,ST020,CS001,2023-11-17
EN074,ST021,CS002,2023-11-18
EN075,ST022,CS006,2023-11-19
EN076,ST023,CS011,2023-11-20
EN077,ST024,CS019,2023-11-21
EN078,ST025,CS014,2023-11-22
EN079,ST026,CS003,2023-11-23
EN080,ST027,CS005,2023-11-24
EN081,ST028,CS017,2023-11-25
EN082,ST029,CS010,2023-11-26
EN083,ST030,CS013,2023-11-27
EN084,ST031,CS004,2023-11-27
EN085,ST031,CS004,2023-11-28
EN086,ST032,CS016,2023-11-29
EN087,ST033,CS009,2023-11-30
EN088,ST034,CS003,2023-12-01
EN089,ST035,CS007,2023-12-02
EN090,ST036,CS015,2023-12-03
EN091,ST037,CS020,2023-12-04
EN092,ST038,CS013,2023-12-05
EN093,ST039,CS009,2023-12-06
EN094,ST040,CS011,2023-12-07
EN095,ST041,CS019,2023-12-08
EN096,ST042,CS001,2023-12-09
EN097,ST043,CS016,2023-12-10
EN098,ST044,CS010,2023-12-11
EN099,ST045,CS013,2023-12-12
EN100,ST046,CS018,2023-12-13
